ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,quarterly,quarterly_lower,quarterly_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2014-01-15,1462.9785740605757,-3408.544190525994,2025.168043878418,1462.9785740605757,1462.9785740605757,-2080.0458706541062,-2080.0458706541062,-2080.0458706541062,-133.0736497834329,-133.0736497834329,-133.0736497834329,-1037.6810483794702,-1037.6810483794702,-1037.6810483794702,-909.291172491203,-909.291172491203,-909.291172491203,0.0,0.0,0.0,-617.0672965935305
2014-01-16,1463.0728582998238,-2106.4536534471977,3087.789031031679,1463.0728582998238,1463.0728582998238,-831.7851864608086,-831.7851864608086,-831.7851864608086,-85.47834755832149,-85.47834755832149,-85.47834755832149,159.22061119803575,159.22061119803575,159.22061119803575,-905.5274501005229,-905.5274501005229,-905.5274501005229,0.0,0.0,0.0,631.2876718390152
2014-01-18,1463.2614267783197,-2198.7615785900134,3240.6915969768856,1463.2614267783197,1463.2614267783197,-867.1766263099767,-867.1766263099767,-867.1766263099767,-18.011231469735492,-18.011231469735492,-18.011231469735492,19.504583821487593,19.504583821487593,19.504583821487593,-868.6699786617287,-868.6699786617287,-868.6699786617287,0.0,0.0,0.0,596.084800468343
2014-01-19,1463.3557110175677,-1831.8722051645923,3424.2886353431227,1463.3557110175677,1463.3557110175677,-633.4718523161881,-633.4718523161881,-633.4718523161881,-1.2287031877313657,-1.2287031877313657,-1.2287031877313657,205.6620135965902,205.6620135965902,205.6620135965902,-837.9051627250469,-837.9051627250469,-837.9051627250469,0.0,0.0,0.0,829.8838587013796
2014-01-20,1463.4499952568156,-1675.7367455827048,3728.9777634238126,1463.4499952568156,1463.4499952568156,-385.4213027266658,-385.4213027266658,-385.4213027266658,4.740481071674795,4.740481071674795,4.740481071674795,410.5850320821174,410.5850320821174,410.5850320821174,-800.7468158804578,-800.7468158804578,-800.7468158804578,0.0,0.0,0.0,1078.0286925301498
2014-01-21,1463.5442794960638,-2184.9893811513534,3083.929458777057,1463.5442794960638,1463.5442794960638,-928.3457202815703,-928.3457202815703,-928.3457202815703,1.9701780315619744,1.9701780315619744,1.9701780315619744,-171.58788053450607,-171.58788053450607,-171.58788053450607,-758.728017778626,-758.728017778626,-758.728017778626,0.0,0.0,0.0,535.1985592144936
2014-01-23,1463.7328479745597,-1820.6831421755978,3625.6732525935504,1463.7328479745597,1463.7328479745597,-523.9856838800098,-523.9856838800098,-523.9856838800098,-16.57645844684622,-16.57645844684622,-16.57645844684622,159.22061119928276,159.22061119928276,159.22061119928276,-666.6298366324462,-666.6298366324462,-666.6298366324462,0.0,0.0,0.0,939.7471640945499
2014-01-26,1464.0157006923037,-1659.100680175865,3859.998376590487,1464.0157006923037,1464.0157006923037,-349.2333258786692,-349.2333258786692,-349.2333258786692,-21.695969035485092,-21.695969035485092,-21.695969035485092,205.6620135949442,205.6620135949442,205.6620135949442,-533.1993704381281,-533.1993704381281,-533.1993704381281,0.0,0.0,0.0,1114.7823748136345
2014-01-27,1464.1099849315517,-1375.974790335855,4194.128027358787,1464.1099849315517,1464.1099849315517,-93.4236287271531,-93.4236287271531,-93.4236287271531,-7.721588978206253,-7.721588978206253,-7.721588978206253,410.58503208089894,410.58503208089894,410.58503208089894,-496.28707182984584,-496.28707182984584,-496.28707182984584,0.0,0.0,0.0,1370.6863562043986
2014-01-28,1464.2042691707998,-1899.6640219626,3666.7254384788985,1464.2042691707998,1464.2042691707998,-623.2847224315815,-623.2847224315815,-623.2847224315815,13.779199831926979,13.779199831926979,13.779199831926979,-171.58788053251862,-171.58788053251862,-171.58788053251862,-465.4760417309898,-465.4760417309898,-465.4760417309898,0.0,0.0,0.0,840.9195467392183
2014-01-30,1464.3928376492956,-1432.5896419991243,3753.5384298202216,1464.3928376492956,1464.3928376492956,-199.1898935164506,-199.1898935164506,-199.1898935164506,68.15626767415115,68.15626767415115,68.15626767415115,159.220611199946,159.220611199946,159.220611199946,-426.5667723905479,-426.5667723905479,-426.5667723905479,0.0,0.0,0.0,1265.202944132845
2014-01-31,1464.4871218885437,-1264.6267187135713,4567.5548654640515,1464.4871218885437,1464.4871218885437,88.18266042802287,88.18266042802287,88.18266042802287,94.03887758650583,94.03887758650583,94.03887758650583,414.2966882138363,414.2966882138363,414.2966882138363,-420.1529053723192,-420.1529053723192,-420.1529053723192,0.0,0.0,0.0,1552.6697823165666
2014-02-01,1464.5814061277918,-1375.616048431284,3883.191743543829,1464.5814061277918,1464.5814061277918,-288.472359817197,-288.472359817197,-288.472359817197,115.19282654006274,115.19282654006274,115.19282654006274,19.504583822335167,19.504583822335167,19.504583822335167,-423.1697701795951,-423.1697701795951,-423.1697701795951,0.0,0.0,0.0,1176.1090463105947
2014-02-02,1464.6756903670396,-1491.9099380934904,4062.5070985352036,1464.6756903670396,1464.6756903670396,-99.83513325969231,-99.83513325969231,-99.83513325969231,130.36340932590667,130.36340932590667,130.36340932590667,205.66201359452356,205.66201359452356,205.66201359452356,-435.8605561801225,-435.8605561801225,-435.8605561801225,0.0,0.0,0.0,1364.8405571073472
2014-02-03,1464.7699746062876,-1182.7830112858514,4041.953671835872,1464.7699746062876,1464.7699746062876,92.22104027039715,92.22104027039715,92.22104027039715,139.84900982772558,139.84900982772558,139.84900982772558,410.5850320814025,410.5850320814025,410.5850320814025,-458.21300163873093,-458.21300163873093,-458.21300163873093,0.0,0.0,0.0,1556.9910148766849
2014-02-04,1464.8642588455355,-1818.535285400059,3692.8812253588903,1464.8642588455355,1464.8642588455355,-516.4784127866909,-516.4784127866909,-516.4784127866909,145.06924696341858,145.06924696341858,145.06924696341858,-171.58788053325227,-171.58788053325227,-171.58788053325227,-489.95977921685716,-489.95977921685716,-489.95977921685716,0.0,0.0,0.0,948.3858460588445
2014-02-06,1465.0528273240316,-1653.1118058969314,3623.1453321924064,1465.0528273240316,1465.0528273240316,-271.539243305964,-271.539243305964,-271.539243305964,148.57557511209916,148.57557511209916,148.57557511209916,159.22061119900067,159.22061119900067,159.22061119900067,-579.3354296170637,-579.3354296170637,-579.3354296170637,0.0,0.0,0.0,1193.5135840180676
2014-02-07,1465.1471115632796,-1290.828582441831,4361.6641852191115,1465.1471115632796,1465.1471115632796,-73.97698911288799,-73.97698911288799,-73.97698911288799,146.96614950016496,146.96614950016496,146.96614950016496,414.29668821485234,414.29668821485234,414.29668821485234,-635.2398268279052,-635.2398268279052,-635.2398268279052,0.0,0.0,0.0,1391.1701224503915
2014-02-08,1465.2413958025274,-1662.9320544507752,3537.4108375343626,1465.2413958025274,1465.2413958025274,-537.4341419015244,-537.4341419015244,-537.4341419015244,140.191054099098,140.191054099098,140.191054099098,19.504583821784234,19.504583821784234,19.504583821784234,-697.1297798224068,-697.1297798224068,-697.1297798224068,0.0,0.0,0.0,927.807253901003
2014-02-11,1465.5242485202716,-2312.3014803225683,3206.5696609859438,1465.5242485202716,1465.5242485202716,-1027.535855320899,-1027.535855320899,-1027.535855320899,48.730678027971855,48.730678027971855,48.730678027971855,-171.5878805321262,-171.5878805321262,-171.5878805321262,-904.6786528167446,-904.6786528167446,-904.6786528167446,0.0,0.0,0.0,437.9883931993727
2014-02-12,1465.6185327595194,-3385.7287862818926,2070.9801921793332,1465.6185327595194,1465.6185327595194,-2026.7848081143034,-2026.7848081143034,-2026.7848081143034,-13.181187925097698,-13.181187925097698,-13.181187925097698,-1037.6810483792156,-1037.6810483792156,-1037.6810483792156,-975.92257180999,-975.92257180999,-975.92257180999,0.0,0.0,0.0,-561.1662753547839
2014-02-14,1465.8071012380155,-2343.0508589883375,3470.6854514964984,1465.8071012380155,1465.8071012380155,-860.6512478451168,-860.6512478451168,-860.6512478451168,-163.4178932710241,-163.4178932710241,-163.4178932710241,414.2966882144054,414.2966882144054,414.2966882144054,-1111.5300427884981,-1111.5300427884981,-1111.5300427884981,0.0,0.0,0.0,605.1558533928987
2014-02-15,1465.9013854772636,-2757.0176029145746,2732.6668260249903,1465.9013854772636,1465.9013854772636,-1385.1404922001698,-1385.1404922001698,-1385.1404922001698,-232.04839710840992,-232.04839710840992,-232.04839710840992,19.504583821233336,19.504583821233336,19.504583821233336,-1172.5966789129932,-1172.5966789129932,-1172.5966789129932,0.0,0.0,0.0,80.76089327709383
2014-02-16,1465.9956697165114,-2720.784024926638,2915.325086511288,1465.9956697165114,1465.9956697165114,-1302.4183650624402,-1302.4183650624402,-1302.4183650624402,-280.99363383350425,-280.99363383350425,-280.99363383350425,205.66201359469844,205.66201359469844,205.66201359469844,-1227.0867448236347,-1227.0867448236347,-1227.0867448236347,0.0,0.0,0.0,163.5773046540712
2014-02-17,1466.0899539557595,-2545.555266945601,2906.3244371098394,1466.0899539557595,1466.0899539557595,-1164.1611604273207,-1164.1611604273207,-1164.1611604273207,-301.1723644491904,-301.1723644491904,-301.1723644491904,410.58503208199323,410.58503208199323,410.58503208199323,-1273.5738280601236,-1273.5738280601236,-1273.5738280601236,0.0,0.0,0.0,301.92879352843875
2014-02-18,1466.1842381950073,-3084.390845775095,2531.64519427521,1466.1842381950073,1466.1842381950073,-1771.1112764718523,-1771.1112764718523,-1771.1112764718523,-288.7432925608802,-288.7432925608802,-288.7432925608802,-171.58788053285994,-171.58788053285994,-171.58788053285994,-1310.780103378112,-1310.780103378112,-1310.780103378112,0.0,0.0,0.0,-304.927038276845
2014-02-20,1466.3728066735034,-2633.131946094851,2732.83333420096,1466.3728066735034,1466.3728066735034,-1379.2229475909942,-1379.2229475909942,-1379.2229475909942,-185.29709333079086,-185.29709333079086,-185.29709333079086,159.22061120032717,159.22061120032717,159.22061120032717,-1353.1464654605304,-1353.1464654605304,-1353.1464654605304,0.0,0.0,0.0,87.14985908250924
2014-02-21,1466.4670909127515,-2263.254372186571,3141.9212460612844,1466.4670909127515,1466.4670909127515,-1061.852352392477,-1061.852352392477,-1061.852352392477,-119.4234692219573,-119.4234692219573,-119.4234692219573,414.2966882158923,414.2966882158923,414.2966882158923,-1356.7255713864122,-1356.7255713864122,-1356.7255713864122,0.0,0.0,0.0,404.6147385202744
2014-02-22,1466.5613751519993,-2518.6301460568898,2536.899012403273,1466.5613751519993,1466.5613751519993,-1394.3740191534912,-1394.3740191534912,-1394.3740191534912,-65.98329559727253,-65.98329559727253,-65.98329559727253,19.504583822631744,19.504583822631744,19.504583822631744,-1347.8953073788502,-1347.8953073788502,-1347.8953073788502,0.0,0.0,0.0,72.18735599850811
2014-02-23,1466.6556593912474,-2424.8726824045016,3123.8551657451458,1466.6556593912474,1466.6556593912474,-1160.0554626622175,-1160.0554626622175,-1160.0554626622175,-39.26542121044465,-39.26542121044465,-39.26542121044465,205.6620135953985,205.6620135953985,205.6620135953985,-1326.4520550471714,-1326.4520550471714,-1326.4520550471714,0.0,0.0,0.0,306.6001967290299
2014-02-24,1466.7499436304954,-2004.9442629891942,3378.846483081462,1466.7499436304954,1466.7499436304954,-928.8821963109311,-928.8821963109311,-928.8821963109311,-47.02887994004232,-47.02887994004232,-47.02887994004232,410.58503208249664,410.58503208249664,410.58503208249664,-1292.4383484533855,-1292.4383484533855,-1292.4383484533855,0.0,0.0,0.0,537.8677473195643
2014-02-27,1467.0327983990826,-2315.0013306655305,3028.4064544307294,1467.0327983990826,1467.0327983990826,-1176.3641107532942,-1176.3641107532942,-1176.3641107532942,-216.57631495588265,-216.57631495588265,-216.57631495588265,159.22061119938184,159.22061119938184,159.22061119938184,-1119.0084069967936,-1119.0084069967936,-1119.0084069967936,0.0,0.0,0.0,290.6686876457884
2014-03-01,1467.221368244807,-2399.2276508937825,2876.775224028545,1467.221368244807,1467.221368244807,-1203.1201737620936,-1203.1201737620936,-1203.1201737620936,-270.8119792528409,-270.8119792528409,-270.8119792528409,19.504583822080885,19.504583822080885,19.504583822080885,-951.8127783313336,-951.8127783313336,-951.8127783313336,0.0,0.0,0.0,264.1011944827135
2014-03-02,1467.3156531676696,-1973.559647132879,3377.19222955752,1467.3156531676696,1467.3156531676696,-876.0065393918388,-876.0065393918388,-876.0065393918388,-225.54470882091948,-225.54470882091948,-225.54470882091948,205.66201359609863,205.66201359609863,205.66201359609863,-856.123844167018,-856.123844167018,-856.123844167018,0.0,0.0,0.0,591.3091137758307
2014-03-03,1467.409938090532,-1580.8456409872376,3748.041198771739,1467.409938090532,1467.409938090532,-469.2337267919367,-469.2337267919367,-469.2337267919367,-125.58595210073192,-125.58595210073192,-125.58595210073192,410.58503208086194,410.58503208086194,410.58503208086194,-754.2328067720665,-754.2328067720665,-754.2328067720665,0.0,0.0,0.0,998.1762112985953
2014-03-04,1467.5042230133943,-2068.175264465206,3299.090533502259,1467.5042230133943,1467.5042230133943,-800.6121645978898,-800.6121645978898,-800.6121645978898,18.64161676457666,18.64161676457666,18.64161676457666,-171.58788053203705,-171.58788053203705,-171.58788053203705,-647.6659008304292,-647.6659008304292,-647.6659008304292,0.0,0.0,0.0,666.8920584155045
2014-03-05,1467.5985079362565,-2695.874150697275,2913.7360998121717,1467.5985079362565,1467.5985079362565,-1389.8026478013062,-1389.8026478013062,-1389.8026478013062,185.8949494090096,185.8949494090096,185.8949494090096,-1037.6810483791905,-1037.6810483791905,-1037.6810483791905,-538.016548831125,-538.016548831125,-538.016548831125,0.0,0.0,0.0,77.79586013495032
2014-03-07,1467.7870777819815,-726.2024527569904,4618.936617822764,1467.7870777819815,1467.7870777819815,576.8494268016722,576.8494268016722,576.8494268016722,478.5333172590671,478.5333172590671,478.5333172590671,414.29668821502355,414.29668821502355,414.29668821502355,-315.9805786724185,-315.9805786724185,-315.9805786724185,0.0,0.0,0.0,2044.6365045836537
2014-03-10,1468.0699325505682,-364.98515601186784,5072.028063087847,1468.0699325505682,1468.0699325505682,925.9650824760823,925.9650824760823,925.9650824760823,515.2208949861658,515.2208949861658,515.2208949861658,410.5850320809491,410.5850320809491,410.5850320809491,0.15915540896750852,0.15915540896750852,0.15915540896750852,0.0,0.0,0.0,2394.0350150266504
2014-03-11,1468.1642174734309,-690.2974504070692,4543.518604315736,1468.1642174734309,1468.1642174734309,344.6096735569118,344.6096735569118,344.6096735569118,420.98816042397243,420.98816042397243,420.98816042397243,-171.58788053320143,-171.58788053320143,-171.58788053320143,95.20939366614074,95.20939366614074,95.20939366614074,0.0,0.0,0.0,1812.7738910303426
2014-03-14,1468.4470722420176,-409.7666111856085,4990.013251838303,1468.4470722420176,1468.4470722420176,893.1089591000983,893.1089591000983,893.1089591000983,145.8607645347344,145.8607645347344,145.8607645347344,414.2966882150727,414.2966882150727,414.2966882150727,332.9515063502914,332.9515063502914,332.9515063502914,0.0,0.0,0.0,2361.556031342116
2014-03-15,1468.5413571648803,-663.0610127328741,5037.445651357591,1468.5413571648803,1468.5413571648803,550.2689809758515,550.2689809758515,550.2689809758515,137.18226501862947,137.18226501862947,137.18226501862947,19.5045838217698,19.5045838217698,19.5045838217698,393.58213213545224,393.58213213545224,393.58213213545224,0.0,0.0,0.0,2018.8103381407318
2014-03-16,1468.6356420877426,-263.04133425047075,5217.970927415825,1468.6356420877426,1468.6356420877426,834.894185356603,834.894185356603,834.894185356603,185.26952597027804,185.26952597027804,185.26952597027804,205.66201359515276,205.66201359515276,205.66201359515276,443.9626457911721,443.9626457911721,443.9626457911721,0.0,0.0,0.0,2303.5298274443458
2014-03-17,1468.7299270106048,70.35147665133357,5238.197525226936,1468.7299270106048,1468.7299270106048,1173.2626648224211,1173.2626648224211,1173.2626648224211,278.86042859623075,278.86042859623075,278.86042859623075,410.5850320814526,410.5850320814526,410.5850320814526,483.81720414473773,483.81720414473773,483.81720414473773,0.0,0.0,0.0,2641.992591833026
2014-03-18,1468.824211933467,-644.5951570989016,4964.571596856133,1468.824211933467,1468.824211933467,736.8213165107467,736.8213165107467,736.8213165107467,395.3478893619185,395.3478893619185,395.3478893619185,-171.58788053393513,-171.58788053393513,-171.58788053393513,513.0613076827632,513.0613076827632,513.0613076827632,0.0,0.0,0.0,2205.6455284442136
2014-03-19,1468.9184968563295,-1113.7967938568452,4266.643391573634,1468.9184968563295,1468.9184968563295,0.18376071742890102,0.18376071742890102,0.18376071742890102,506.0696256469553,506.0696256469553,506.0696256469553,-1037.6810483788163,-1037.6810483788163,-1037.6810483788163,531.7951834492898,531.7951834492898,531.7951834492898,0.0,0.0,0.0,1469.1022575737584
2014-03-21,1469.1070667020542,512.8760801158672,5776.645048909267,1469.1070667020542,1469.1070667020542,1557.6938420232345,1557.6938420232345,1557.6938420232345,604.4064450492721,604.4064450492721,604.4064450492721,414.29668821559267,414.29668821559267,414.29668821559267,538.9907087583698,538.9907087583698,538.9907087583698,0.0,0.0,0.0,3026.8009087252885
2014-03-22,1469.2013516249165,-251.22699311464223,5406.543856438294,1469.2013516249165,1469.2013516249165,1108.5827479434502,1108.5827479434502,1108.5827479434502,560.6124070318633,560.6124070318633,560.6124070318633,19.504583822377487,19.504583822377487,19.504583822377487,528.4657570892093,528.4657570892093,528.4657570892093,0.0,0.0,0.0,2577.7840995683664
2014-03-23,1469.295636547779,-26.86040398870343,5290.382634261573,1469.295636547779,1469.295636547779,1169.6552227489337,1169.6552227489337,1169.6552227489337,454.57198581432203,454.57198581432203,454.57198581432203,205.66201359585284,205.66201359585284,205.66201359585284,509.4212233387588,509.4212233387588,509.4212233387588,0.0,0.0,0.0,2638.9508592967127
2014-03-24,1469.3899214706414,-229.20226708663853,5475.21847442145,1469.3899214706414,1469.3899214706414,1194.5376372271057,1194.5376372271057,1194.5376372271057,301.28969315767864,301.28969315767864,301.28969315767864,410.5850320819562,410.5850320819562,410.5850320819562,482.6629119874711,482.6629119874711,482.6629119874711,0.0,0.0,0.0,2663.9275586977474
2014-03-25,1469.4842063935037,-709.5770456963359,4691.1378769173025,1469.4842063935037,1469.4842063935037,401.4243989122803,401.4243989122803,401.4243989122803,123.93505865160667,123.93505865160667,123.93505865160667,-171.58788053466893,-171.58788053466893,-171.58788053466893,449.07722079534255,449.07722079534255,449.07722079534255,0.0,0.0,0.0,1870.908605305784
2014-03-26,1469.578491316366,-2003.5210512519807,3470.6220270455397,1469.578491316366,1469.578491316366,-679.536379783668,-679.536379783668,-679.536379783668,-51.463312675924286,-51.463312675924286,-51.463312675924286,-1037.681048379081,-1037.681048379081,-1037.681048379081,409.60798127133734,409.60798127133734,409.60798127133734,0.0,0.0,0.0,790.0421115326978
2014-03-28,1469.7670611620908,-675.7623464289775,4605.925240557987,1469.7670611620908,1469.7670611620908,421.1177793466982,421.1177793466982,421.1177793466982,-310.12132454767936,-310.12132454767936,-310.12132454767936,414.2966882146749,414.2966882146749,414.2966882146749,316.9424156797028,316.9424156797028,316.9424156797028,0.0,0.0,0.0,1890.884840508789
2014-03-29,1469.861346084953,-1196.192480363296,4090.9762025030227,1469.861346084953,1469.861346084953,-85.4136559252485,-85.4136559252485,-85.4136559252485,-370.63306293576017,-370.63306293576017,-370.63306293576017,19.50458382182664,19.50458382182664,19.50458382182664,265.71482318868493,265.71482318868493,265.71482318868493,0.0,0.0,0.0,1384.4476901597045
2014-03-30,1469.9556310078153,-1239.037769405797,4162.98959714975,1469.9556310078153,1469.9556310078153,31.825350169916664,31.825350169916664,31.825350169916664,-386.33598816190135,-386.33598816190135,-386.33598816190135,205.66201359532764,205.66201359532764,205.66201359532764,212.4993247364903,212.4993247364903,212.4993247364903,0.0,0.0,0.0,1501.780981177732
2014-03-31,1470.0499159306778,-1046.6906185084356,4391.432137675475,1470.0499159306778,1470.0499159306778,200.51458812649165,200.51458812649165,200.51458812649165,-368.2667301755826,-368.2667301755826,-368.2667301755826,410.5850320820433,410.5850320820433,410.5850320820433,158.19628622003097,158.19628622003097,158.19628622003097,0.0,0.0,0.0,1670.5645040571694
2014-04-01,1470.14420085354,-1672.609256536495,3764.767044489621,1470.14420085354,1470.14420085354,-399.72430343773175,-399.72430343773175,-399.72430343773175,-331.7781866978836,-331.7781866978836,-331.7781866978836,-171.58788053311218,-171.58788053311218,-171.58788053311218,103.641763793264,103.641763793264,103.641763793264,0.0,0.0,0.0,1070.4198974158082
2014-04-02,1470.2384857764025,-2600.864702451162,2937.631495542716,1470.2384857764025,1470.2384857764025,-1280.6643560511723,-1280.6643560511723,-1280.6643560511723,-292.5776665808852,-292.5776665808852,-292.5776665808852,-1037.6810483789363,-1037.6810483789363,-1037.6810483789363,49.594358908649234,49.594358908649234,49.594358908649234,0.0,0.0,0.0,189.57412972523025
2014-04-03,1470.3327706992648,-1267.4198259105349,3808.477060799967,1470.3327706992648,1470.3327706992648,-107.29657008315866,-107.29657008315866,-107.29657008315866,-263.2421088712726,-263.2421088712726,-263.2421088712726,159.22061119831343,159.22061119831343,159.22061119831343,-3.2750724101995266,-3.2750724101995266,-3.2750724101995266,0.0,0.0,0.0,1363.036200616106
2014-04-04,1470.4270556221272,-1061.9761620219772,4194.207520566445,1470.4270556221272,1470.4270556221272,108.95805086324337,108.95805086324337,108.95805086324337,-250.94790163493218,-250.94790163493218,-250.94790163493218,414.2966882137569,414.2966882137569,414.2966882137569,-54.39073571558143,-54.39073571558143,-54.39073571558143,0.0,0.0,0.0,1579.3851064853707
2014-04-05,1470.5213405449895,-1622.4476780407806,3812.0945420320477,1470.5213405449895,1470.5213405449895,-340.53924945086374,-340.53924945086374,-340.53924945086374,-256.76762693417834,-256.76762693417834,-256.76762693417834,19.504583821275755,19.504583821275755,19.504583821275755,-103.27620633796111,-103.27620633796111,-103.27620633796111,0.0,0.0,0.0,1129.9820910941257
2014-04-06,1470.615625467852,-1394.5963292716795,3968.8459098248854,1470.615625467852,1470.615625467852,-220.3574220924308,-220.3574220924308,-220.3574220924308,-276.4636543393321,-276.4636543393321,-276.4636543393321,205.66201359592327,205.66201359592327,205.66201359592327,-149.555781349022,-149.555781349022,-149.555781349022,0.0,0.0,0.0,1250.258203375421
2014-04-07,1470.7099103907142,-1128.2094565661564,4235.638552542407,1470.7099103907142,1470.7099103907142,-84.72918437220353,-84.72918437220353,-84.72918437220353,-302.3612087195071,-302.3612087195071,-302.3612087195071,410.5850320816859,410.5850320816859,410.5850320816859,-192.95300773438234,-192.95300773438234,-192.95300773438234,0.0,0.0,0.0,1385.9807260185107
2014-04-08,1470.8041953135767,-1834.9631453820257,3550.9317782566823,1470.8041953135767,1470.8041953135767,-730.5648723335819,-730.5648723335819,-730.5648723335819,-325.6903982587943,-325.6903982587943,-325.6903982587943,-171.58788053427662,-171.58788053427662,-171.58788053427662,-233.286593540511,-233.286593540511,-233.286593540511,0.0,0.0,0.0,740.2393229799948
2014-04-11,1471.0870500821636,-1582.922185017311,3772.4545534715257,1471.0870500821636,1471.0870500821636,-238.57047541017803,-238.57047541017803,-238.57047541017803,-317.4959944767667,-317.4959944767667,-317.4959944767667,414.2966882142771,414.2966882142771,414.2966882142771,-335.37116914768836,-335.37116914768836,-335.37116914768836,0.0,0.0,0.0,1232.5165746719856
2014-04-12,1471.181335005026,-1743.9445205695984,3563.3313244926153,1471.181335005026,1471.181335005026,-626.7922986062977,-626.7922986062977,-626.7922986062977,-283.0212383924177,-283.0212383924177,-283.0212383924177,19.50458382151558,19.50458382151558,19.50458382151558,-363.27564403539543,-363.27564403539543,-363.27564403539543,0.0,0.0,0.0,844.3890363987284
2014-04-13,1471.2756199278883,-1705.4602935177497,3776.774177144285,1471.2756199278883,1471.2756199278883,-419.8601847483044,-419.8601847483044,-419.8601847483044,-237.1724329420915,-237.1724329420915,-237.1724329420915,205.66201359550254,205.66201359550254,205.66201359550254,-388.34976540171544,-388.34976540171544,-388.34976540171544,0.0,0.0,0.0,1051.415435179584
